Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Ion channel transport	-0E00	2.19E-02	0.000	ANO9,ATP2B1,ATP7B,TTYH3	
Pancreatic Secretion Signaling Pathway	-0E00	2.01E-02	-0.447	ATP2B1,KCNMA1,LPL,PLCL1,PRKAR1B	
Protein Sorting Signaling Pathway	-0E00	1.69E-02	NaN	CLTCL1,PRKAR1B,SNX10	
Tight Junction Signaling	-0E00	2.22E-02	NaN	CLDN11,JAM2,MYL9,PRKAR1B	
14-3-3-mediated Signaling	-0E00	7.75E-03	NaN	PLCL1	
Role of NFAT in Regulation of the Immune Response	-0E00	8.67E-03	1.414	CD79B,FCER1A,FCER1G,FCGR1A,FCGR2A,FCGR3A/FCGR3B,GNA15,HLA-A,LOC102723407	
FcγRIIB Signaling in B Lymphocytes	-0E00	5.61E-03	NaN	CACNG2,CD79B,LOC102723407	
CCR5 Signaling in Macrophages	-0E00	6.01E-03	NaN	CACNG2,FCER1G,GNA15	
Calcium-induced T Lymphocyte Apoptosis	-0E00	4.35E-03	NaN	FCER1G,HLA-A	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00	4.71E-03	NaN	FCER1G,HLA-A	
CD27 Signaling in Lymphocytes	-0E00	1.75E-02	NaN	CD27	
IL-3 Signaling	-0E00	1.23E-02	NaN	STAT1	
CXCR4 Signaling	-0E00	1.18E-02	NaN	GNA15,MYL9	
Thrombopoietin Signaling	-0E00	1.54E-02	NaN	STAT1	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00	4.92E-03	NaN	CLTCL1,FCER1G,HLA-A	
T Helper Cell Differentiation	-0E00	8.49E-03	NaN	FCER1G,HLA-A,IL18,STAT1	
CCR3 Signaling in Eosinophils	-0E00	1.47E-02	NaN	GNA15,LIMK2	
CD28 Signaling in T Helper Cells	-0E00	5.78E-03	NaN	ARPC1B,FCER1G,HLA-A	
IL-15 Signaling	-0E00	3.77E-03	NaN	CXCL8,LOC102723407	
Virus Entry via Endocytic Pathways	-0E00	1.67E-02	NaN	CLTCL1,HLA-A	
Dendritic Cell Maturation	-0E00	1.84E-02	1.265	CD1C,CREB5,FCER1G,FCGR1A,FCGR2A,FCGR3A/FCGR3B,HLA-A,IL18,IL23A,PLCL1,STAT1	
Angiopoietin Signaling	-0E00	1.28E-02	NaN	BIRC5	
CNTF Signaling	-0E00	1.69E-02	NaN	STAT1	
Renin-Angiotensin Signaling	-0E00	1.63E-02	NaN	PRKAR1B,STAT1	
Thrombin Signaling	-0E00	1.76E-02	NaN	CAMK4,GNA15,MYL9,PLCL1	
CDK5 Signaling	-0E00	8.7E-03	NaN	PRKAR1B	
ICOS-ICOSL Signaling in T Helper Cells	-0E00	3.93E-03	NaN	FCER1G,HLA-A	
Lipid Antigen Presentation by CD1	-0E00	4.82E-03	NaN	CD1C,FCER1G	
HGF Signaling	-0E00	7.46E-03	NaN	CCND1	
Polyamine Regulation in Colon Cancer	-0E00	1.69E-02	NaN	ARG1	
GNRH Signaling	-0E00	2.09E-02	NaN	CACNG2,CREB5,GNA15,PRKAR1B	
Cholecystokinin/Gastrin-mediated Signaling	-0E00	8.4E-03	NaN	IL18	
Human Embryonic Stem Cell Pluripotency	-0E00	9.85E-03	NaN	FGFRL1,S1PR2	
Role of OCT4 in Mammalian Embryonic Stem Cell Pluripotency	-0E00	2.17E-02	NaN	SPP1	
Germ Cell-Sertoli Cell Junction Signaling	-0E00	5.81E-03	NaN	LIMK2	
Renal Cell Carcinoma Signaling	-0E00	1.23E-02	NaN	SLC2A1	
Type I Diabetes Mellitus Signaling	-0E00	1.18E-02	0.447	FCER1G,HLA-A,IRF1,SOCS1,SOCS3,STAT1	
Small Cell Lung Cancer Signaling	-0E00	2.04E-02	NaN	CCND1,E2F1	
Allograft Rejection Signaling	-0E00	4.11E-03	NaN	FCER1G,HLA-A	
Autoimmune Thyroid Disease Signaling	-0E00	4.37E-03	NaN	FCER1G,HLA-A	
Graft-versus-Host Disease Signaling	-0E00	6.73E-03	NaN	FCER1G,HLA-A,IL18	
Non-Small Cell Lung Cancer Signaling	-0E00	2.08E-02	NaN	CCND1,E2F1	
Gα12/13 Signaling	-0E00	1.48E-02	NaN	CDH5,MYL9	
p70S6K Signaling	-0E00	5.15E-03	NaN	CD79B,LOC102723407,PLCL1	
ERK5 Signaling	-0E00	1.35E-02	NaN	CREB5	
MYC Mediated Apoptosis Signaling	-0E00	2E-02	NaN	PRKAR1B	
G Protein Signaling Mediated by Tubby	-0E00	6.41E-03	NaN	FCER1G,GNA15,THRB	
Communication between Innate and Adaptive Immune Cells	-0E00	9.65E-03	NaN	CD79B,CXCL10,CXCL8,FCER1G,HLA-A,IL18,LOC102723407,TNFRSF13B,TNFSF13B	
Systemic Lupus Erythematosus Signaling	-0E00	1.59E-02	NaN	CAMK4,CD79B,FCER1G,FCGR1A,FCGR2A,FCGR3A/FCGR3B,HLA-A,IL18,LOC102723407,RNU1-28P,RNU4-2,RNU5A-1,RNU5B-1,RNU5D-1,RNU5F-1,RNVU1-7,TNFSF13B	
CDC42 Signaling	-0E00	8.68E-03	2.000	ARPC1B,FCER1G,HLA-A,LIMK2,MYL9	
FAK Signaling	-0E00	2.11E-02	-0.426	APLNR,ARPC1B,C3AR1,CCND1,CDH5,CNR2,ECM1,FCER1G,FFAR2,FPR1,GPR183,GPR68,IL7R,LEF1,P2RY13,P2RY14,P2RY6,PTGDR2,S1PR2,SOCS1,SOCS3,TCF7	
EIF2 Signaling	-0E00	8.66E-03	NaN	CCND1,WARS1	
PAK Signaling	-0E00	1.68E-02	NaN	LIMK2,MYL9	
Phospholipase C Signaling	-0E00	6.24E-03	0.447	CAMK4,CD79B,CREB5,FCER1G,FCGR2A,LOC102723407,MYL9	
HER-2 Signaling in Breast Cancer	-0E00	2.18E-02	0.447	BIRC5,CCND1,COX7A1,FCER1A,FCER1G	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00	1.06E-02	NaN	CD79B,FCER1G,HLA-A,IL18,IL23A,LOC102723407,PRTN3,SPP1,TNFRSF13B,TNFSF13B	
Role of NFAT in Cardiac Hypertrophy	-0E00	1.77E-02	-1.000	CACNG2,CAMK4,PLCL1,PRKAR1B	
B Cell Development	-0E00	8.18E-03	NaN	CD79B,HLA-A,IL7R,LOC102723407	
IL-1 Signaling	-0E00	2.08E-02	NaN	GNA15,PRKAR1B	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00	2.16E-03	NaN	FCER1G	
NUR77 Signaling in T Lymphocytes	-0E00	5.85E-03	NaN	FCER1G,HLA-A,TNFSF10	
PKCθ Signaling in T Lymphocytes	-0E00	5.36E-03	NaN	CACNG2,FCER1G,HLA-A	
Antiproliferative Role of TOB in T Cell Signaling	-0E00	4.69E-03	NaN	CCNA2,FCER1G	
OX40 Signaling Pathway	-0E00	4.18E-03	NaN	FCER1G,HLA-A	
PI3K Signaling in B Lymphocytes	-0E00	6.77E-03	NaN	CARD10,CD79B,LOC102723407,PLCL1	
Cell Cycle Control of Chromosomal Replication	-0E00	1.79E-02	NaN	CDK1	
Spliceosomal Cycle	-0E00	1.89E-02	NaN	DDX39B	
Role of IL-17A in Arthritis	-0E00	1.69E-02	NaN	CXCL8	
IL-17A Signaling in Fibroblasts	-0E00	1.15E-02	NaN	IL23A	
Actin Nucleation by ARP-WASP Complex	-0E00	2.15E-02	NaN	ARPC1B,WASF1	
NGF Signaling	-0E00	1.64E-02	NaN	CREB5,SMPD1	
Sertoli Cell-Sertoli Cell Junction Signaling	-0E00	1.63E-02	-1.000	CDH5,CLDN11,CREB5,JAM2	
Gap Junction Signaling	-0E00	1.5E-02	NaN	GJA5,PLCL1,PRKAR1B	
Telomerase Signaling	-0E00	9.09E-03	NaN	E2F1	
Mouse Embryonic Stem Cell Pluripotency	-0E00	1.89E-02	NaN	LEF1,TCF7	
Hematopoiesis from Pluripotent Stem Cells	-0E00	4.48E-03	NaN	CXCL8,FCER1G	
Transcriptional Regulatory Network in Embryonic Stem Cells	-0E00	1.82E-02	NaN	FGFRL1,IGF2,ZFHX3	
nNOS Signaling in Skeletal Muscle Cells	-0E00	2.08E-02	NaN	CACNG2	
Ephrin A Signaling	-0E00	2.04E-02	NaN	EPHA1	
Ephrin B Signaling	-0E00	1.39E-02	NaN	GNA15	
ERB2-ERBB3 Signaling	-0E00	1.49E-02	NaN	CCND1	
ERBB4 Signaling	-0E00	1.43E-02	NaN	PSENEN	
GDNF Family Ligand-Receptor Interactions	-0E00	1.3E-02	NaN	DOK7	
Heparan Sulfate Biosynthesis	-0E00	2.22E-02	NaN	SULT1A2,TNFAIP6	
Nicotine Degradation III	-0E00	1.67E-02	NaN	CYP2C8	
Estrogen Biosynthesis	-0E00	2.17E-02	NaN	CYP2C8	
Chondroitin Sulfate Biosynthesis	-0E00	1.64E-02	NaN	SULT1A2	
Dermatan Sulfate Biosynthesis	-0E00	1.59E-02	NaN	SULT1A2	
Dermatan Sulfate Biosynthesis (Late Stages)	-0E00	2E-02	NaN	SULT1A2	
Nicotine Degradation II	-0E00	1.47E-02	NaN	CYP2C8	
Chondroitin Sulfate Biosynthesis (Late Stages)	-0E00	1.89E-02	NaN	SULT1A2	
Stearate Biosynthesis I (Animals)	-0E00	1.41E-02	NaN	ACOT7	
Gαq Signaling	-0E00	5.81E-03	NaN	GNA15	
Remodeling of Epithelial Adherens Junctions	-0E00	1.47E-02	NaN	ARPC1B	
Sperm Motility	-0E00	1.95E-02	NaN	EPHA1,GNA15,PLB1,PLCL1,PRKAR1B	
TEC Kinase Signaling	-0E00	1.03E-02	0.000	FCER1A,FCER1G,GNA15,STAT1,TNFRSF10A,TNFSF10	
UVB-Induced MAPK Signaling	-0E00	1.85E-02	NaN	H3C3	
UVC-Induced MAPK Signaling	-0E00	1.96E-02	NaN	SMPD1	
Oxidative Phosphorylation	-0E00	8.93E-03	NaN	COX7A1	
HIPPO signaling	-0E00	1.16E-02	NaN	DLG4	
Toll-like Receptor Signaling	-0E00	1.28E-02	NaN	IL18	
EGF Signaling	-0E00	1.72E-02	NaN	STAT1	
SAPK/JNK Signaling	-0E00	1.99E-03	NaN	FCER1G	
PI3K/AKT Signaling	-0E00	1.5E-02	NaN	CCND1,IL7R,INPP5F	
PTEN Signaling	-0E00	1.32E-02	NaN	CCND1,INPP5F	
Nitric Oxide Signaling in the Cardiovascular System	-0E00	1.64E-02	NaN	CACNG2,PRKAR1B	
IL-2 Signaling	-0E00	1.56E-02	NaN	SOCS1	
GABA Receptor Signaling	-0E00	1.52E-02	NaN	CACNG2,GNA15	
Xenobiotic Metabolism Signaling	-0E00	1.69E-02	NaN	ALDH1A1,CAMK4,CYP2C8,GSTM5,SULT1A2	
IL-4 Signaling	-0E00	1.21E-02	1.134	ARG1,COL17A1,CREB5,FCER1G,GFI1,PTGDR2,SOCS1	
B Cell Receptor Signaling	-0E00	9.42E-03	0.000	CARD10,CD79B,CREB5,FCGR2A,INPP5F,LOC102723407	
Insulin Receptor Signaling	-0E00	2.14E-02	NaN	INPP5F,PRKAR1B,SOCS3	
Phototransduction Pathway	-0E00	1.85E-02	NaN	PRKAR1B	
Neurotrophin/TRK Signaling	-0E00	1.25E-02	NaN	CREB5	
Integrin Signaling	-0E00	9.35E-03	NaN	ARPC1B,MYL9	
PPAR Signaling	-0E00	9.35E-03	NaN	IL18	
Dopamine Receptor Signaling	-0E00	1.25E-02	NaN	PRKAR1B	
Apoptosis Signaling	-0E00	9.62E-03	NaN	CDK1	
NF-κB Signaling	-0E00	6.99E-03	1.000	CARD10,FCER1G,IL18,TNFSF13B	
T Cell Receptor Signaling	-0E00	6.47E-03	0.000	FCER1G,HLA-A,LEF1,TCF7	
PDGF Signaling	-0E00	2.25E-02	NaN	INPP5F,STAT1	
Autophagy	-0E00	1.84E-02	2.000	CREB5,E2F1,MAP1LC3A,PRKAR1B	
Sumoylation Pathway	-0E00	1.94E-02	NaN	MYB,ZEB1	
Adrenomedullin signaling pathway	-0E00	1.99E-02	1.000	GNA15,IL18,PLCL1,PRKAR1B	
Iron homeostasis signaling pathway	-0E00	7.3E-03	NaN	FECH	
Th17 Activation Pathway	-0E00	6.2E-03	NaN	FCER1G,IL23A,SOCS3	
SPINK1 General Cancer Pathway	-0E00	1.41E-02	NaN	MT1X	
Apelin Endothelial Signaling Pathway	-0E00	1.4E-02	NaN	APLNR,GNA15	
T Cell Exhaustion Signaling Pathway	-0E00	1.05E-02	2.236	CD274,FCER1G,HLA-A,PDCD1LG2,STAT1,TCF7	
Systemic Lupus Erythematosus in T Cell Signaling Pathway	-0E00	9.3E-03	-0.816	CAMK4,CASP5,CREB5,FCER1G,HLA-A,IL23A	
Systemic Lupus Erythematosus in B Cell Signaling Pathway	-0E00	2.06E-02	0.535	CCND1,CD5,CD79B,CLCF1,CXCL8,FCGR2A,IFIT2,IFIT3,IL18,INPP5F,LILRB4,LOC102723407,STAT1,TNFSF10,TNFSF13B	
Xenobiotic Metabolism General Signaling Pathway	-0E00	6.9E-03	NaN	GSTM5	
Xenobiotic Metabolism CAR Signaling Pathway	-0E00	2.06E-02	1.000	ALDH1A1,CYP2C8,GSTM5,SULT1A2	
Eicosanoid Signaling	-0E00	1.43E-02	NaN	PLB1	
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	-0E00	8.77E-03	NaN	PLB1	
